State,StateName,Region,FIPS,ColonyCount,TotalProduction,YieldPerColony,PricePerLB,ProductionValue,Stocks,YearRecorded,Clothianidin,Imidacloprid,Thiamethoxam,Acetamiprid,Thiacloprid,CombinedNeonic,ColonyGrowth,GrowthOutcome
AL,Alabama,South,1,16000.0,928000.0,58,0.69,640000.0,28000.0,1995,0.0,716.5,0.0,0.0,0.0,716.5,-11.11111111,0
AL,Alabama,South,1,15000.0,960000.0,64,0.87,835000.0,96000.0,1996,0.0,371.6,0.0,0.0,0.0,371.6,-6.25,0
AL,Alabama,South,1,14000.0,924000.0,66,0.81,748000.0,92000.0,1997,0.0,6704.8,0.0,0.0,0.0,6704.8,-6.666666667,0
AL,Alabama,South,1,16000.0,1136000.0,71,0.72,818000.0,159000.0,1998,0.0,1836.3,0.0,0.0,0.0,1836.3,14.28571429,1
AL,Alabama,South,1,17000.0,1156000.0,68,0.56,647000.0,185000.0,1999,0.0,1251.2,0.0,0.0,0.0,1251.2,6.25,1
AL,Alabama,South,1,16000.0,1248000.0,78,0.59,736000.0,187000.0,2000,0.0,1499.2,0.0,0.0,0.0,1499.2,-5.882352941000001,0
AL,Alabama,South,1,14000.0,1022000.0,73,0.72,736000.0,235000.0,2001,0.0,1490.8,0.0,0.0,0.0,1490.8,-12.5,0
AL,Alabama,South,1,12000.0,1032000.0,86,1.18,1218000.0,103000.0,2002,0.0,1178.8,840.4,0.0,0.0,2019.2,-14.28571429,0
AL,Alabama,South,1,13000.0,1066000.0,82,1.24,1322000.0,43000.0,2003,0.0,668.3,591.7,0.0,0.0,1260.0,8.333333332999999,1
AL,Alabama,South,1,12000.0,1044000.0,87,1.41,1472000.0,282000.0,2004,2676.4,1323.9,3863.9,0.0,0.0,7864.2,-7.692307692000001,0
AL,Alabama,South,1,13000.0,858000.0,66,1.02,875000.0,266000.0,2005,1503.6,994.5,5493.9,0.0,0.0,7992.0,8.333333332999999,1
AL,Alabama,South,1,11000.0,792000.0,72,1.21,958000.0,230000.0,2006,680.0,4230.2,5371.6,0.0,0.0,10281.8,-15.38461538,0
AL,Alabama,South,1,11000.0,616000.0,56,1.49,918000.0,209000.0,2007,7696.2,3258.1,4149.6,0.0,0.0,15103.9,0.0,0
AL,Alabama,South,1,9000.0,594000.0,66,1.9,1129000.0,214000.0,2008,1598.3,3296.6,4214.5,0.0,0.0,9109.4,-18.18181818,0
AL,Alabama,South,1,9000.0,450000.0,50,1.86,837000.0,68000.0,2009,5087.2,3991.9,4076.2,0.0,0.0,13155.3,0.0,0
